Epoch   E(m)   N(m)   U(m)
733 -0.133574 0.853971 -0.212446
734 -0.133667 0.850957 -0.210394
735 -0.138033 0.853518 -0.224257
736 -0.127806 0.852136 -0.205415
737 -0.126914 0.851458 -0.197681
738 -0.12601 0.853694 -0.202681
739 -0.122016 0.855448 -0.199184
740 -0.130141 0.854295 -0.207393
741 -0.129878 0.858626 -0.202065
742 -0.134093 0.857569 -0.19901
743 -0.140578 0.856063 -0.207646
744 -0.134772 0.859552 -0.173138
745 -0.123775 0.868695 -0.161546
746 -0.12321 0.869157 -0.15498
747 -0.123409 0.875251 -0.169133
748 -0.125816 0.876217 -0.167775
749 -0.122187 0.873181 -0.197016
750 -0.125846 0.883475 -0.212693
751 -0.125687 0.874482 -0.204096
752 -0.12228 0.879346 -0.202858
753 -0.10827 0.879891 -0.18774
754 -0.107941 0.884559 -0.192589
755 -0.10503 0.895691 -0.19941
756 -0.0967831 0.901466 -0.200461
757 -0.0884073 0.899251 -0.177186
758 -0.0905182 0.900071 -0.19078
759 -0.0806116 0.897014 -0.171883
760 -0.0811323 0.899292 -0.159671
761 -0.0734152 0.909206 -0.145375
762 -0.0709702 0.905781 -0.137706
763 -0.0611052 0.91204 -0.152664
