GPSS Week    Seconds of Week          X(m)              Y(m)              Z(m)           Clock(m)
2394     208286.000   -2267231.879    5009751.448    3221091.426        148.377
2394     208287.000   -2267230.007    5009717.188    3221088.172        125.161
2394     208288.000   -2267226.394    5009712.803    3221083.315        193.448
2394     208289.000   -2267223.049    5009707.280    3221076.737        115.222
2394     208290.000   -2267221.149    5009702.554    3221073.826        108.671
2394     208291.000   -2267219.329    5009701.851    3221070.899        112.579
2394     208292.000   -2267217.401    5009699.446    3221068.618        173.008
2394     208293.000   -2267216.508    5009701.181    3221066.040         83.047
2394     208294.000   -2267216.853    5009703.735    3221066.108         82.969
2394     208295.000   -2267215.682    5009704.566    3221064.864         81.052
2394     208296.000   -2267215.421    5009704.005    3221063.780         87.982
2394     208297.000   -2267215.368    5009704.750    3221065.595        161.729
2394     208298.000   -2267215.651    5009707.186    3221066.921         90.989
2394     208299.000   -2267216.089    5009711.098    3221069.016        112.431
2394     208300.000   -2267214.491    5009712.732    3221068.980        122.630
2394     208301.000   -2267210.984    5009715.461    3221073.316        123.981
2394     208302.000   -2267210.427    5009709.727    3221070.308        181.338
2394     208303.000   -2267212.351    5009708.706    3221069.827         79.326
2394     208304.000   -2267216.203    5009704.977    3221072.656         73.787
2394     208305.000   -2267217.596    5009703.537    3221071.624         39.945
2394     208306.000   -2267214.675    5009714.183    3221080.148        126.665
2394     208307.000   -2267214.930    5009716.672    3221081.151         62.169
2394     208308.000   -2267214.688    5009719.900    3221083.040         72.090
2394     208309.000   -2267214.500    5009722.485    3221084.634         82.264
2394     208310.000   -2267214.116    5009725.071    3221084.627         84.413
2394     208311.000   -2267211.440    5009723.399    3221083.839        163.371
2394     208312.000   -2267209.071    5009723.772    3221084.094         95.181
2394     208313.000   -2267208.632    5009727.497    3221085.755         85.330
2394     208314.000   -2267207.681    5009729.098    3221086.677         57.860
2394     208315.000   -2267208.240    5009726.825    3221084.605         62.920
2394     208316.000   -2267207.530    5009720.652    3221078.120        134.379
2394     208317.000   -2267204.127    5009720.197    3221075.856         70.098
2394     208318.000   -2267200.778    5009721.723    3221075.041         79.968
2394     208319.000   -2267177.175    5009714.698    3221045.295         67.351
2394     208320.000   -2267172.562    5009715.940    3221043.679         75.534
2394     208321.000   -2267169.779    5009718.451    3221045.442        154.398
2394     208322.000   -2267165.437    5009721.624    3221044.507         84.397
2394     208323.000   -2267160.454    5009725.557    3221045.875         99.369
2394     208324.000   -2267164.090    5009714.856    3221035.812         75.255
2394     208325.000   -2267162.152    5009715.644    3221034.633         82.783
2394     208326.000   -2267161.047    5009717.965    3221035.463        165.401
2394     208327.000   -2267160.842    5009722.731    3221039.082         93.521
2394     208328.000   -2267161.579    5009724.220    3221040.008         89.752
2394     208329.000   -2267160.567    5009723.237    3221040.408         93.783
2394     208330.000   -2267159.399    5009721.193    3221041.032         94.426
2394     208331.000   -2267162.592    5009714.955    3221035.776        167.147
2394     208332.000   -2267161.588    5009715.529    3221039.158         91.232
2394     208333.000   -2267160.015    5009713.358    3221041.065         96.188
2394     208334.000   -2267159.490    5009714.159    3221043.513        110.790
2394     208335.000   -2267159.453    5009716.594    3221046.443        106.911
2394     208336.000   -2267158.318    5009716.683    3221050.432        171.020
2394     208337.000   -2267157.601    5009715.591    3221052.703         93.680
2394     208338.000   -2267158.122    5009717.272    3221058.188        102.118
2394     208339.000   -2267157.760    5009718.143    3221061.668        100.558
2394     208340.000   -2267156.715    5009717.732    3221064.261         68.111
2394     208341.000   -2267156.471    5009717.022    3221064.997        151.650
2394     208342.000   -2267155.735    5009716.569    3221067.931         82.847
2394     208343.000   -2267150.233    5009714.964    3221067.996         76.086
2394     208344.000   -2267150.611    5009715.632    3221069.519         72.280
2394     208345.000   -2267149.773    5009716.373    3221069.740         65.138
