# TOW(s)         Up(m)      
 211167.0000       -35.8225
 211168.0000       -33.4906
 211169.0000       -41.2267
 211170.0000       -29.3083
 211171.0000       -30.2839
 211172.0000       -33.2276
 211173.0000       -39.5065
 211174.0000       -33.9578
 211175.0000       -33.2842
 211176.0000       -36.6170
 211177.0000       -34.3928
 211178.0000       -35.7006
 211179.0000       -34.8718
 211180.0000       -33.0479
 211181.0000       -33.7787
 211182.0000       -33.9513
 211183.0000       -37.6195
 211184.0000       -34.7830
 211185.0000       -37.6348
 211186.0000       -38.1217
 211187.0000       -36.8525
 211188.0000       -37.8419
 211189.0000       -34.3673
 211190.0000       -33.7635
 211191.0000       -29.4859
 211192.0000       -27.8665
 211193.0000       -30.7895
 211194.0000       -33.4200
 211195.0000       -32.0402
 211196.0000       -32.9265
 211197.0000       -32.1704
 211198.0000       -41.3204
