Epoch GPSWeek GPSSeconds E N U
252 2170 180330.000 -3.996946e+64 -5.261372e+64 6.333948e+64
253 2170 180360.000 -3.996946e+64 -5.261372e+64 6.333948e+64
254 2170 180390.000 -3.996946e+64 -5.261372e+64 6.333948e+64
255 2170 180420.000 -3.996946e+64 -5.261372e+64 6.333948e+64
256 2170 180450.000 -3.996946e+64 -5.261372e+64 6.333948e+64
257 2170 180480.000 -3.996946e+64 -5.261372e+64 6.333948e+64
258 2170 180510.000 -3.996946e+64 -5.261372e+64 6.333948e+64
259 2170 180540.000 -3.996946e+64 -5.261372e+64 6.333948e+64
260 2170 180570.000 -3.996946e+64 -5.261372e+64 6.333948e+64
261 2170 180600.000 -3.996946e+64 -5.261372e+64 6.333948e+64
262 2170 180630.000 -3.996946e+64 -5.261372e+64 6.333948e+64
263 2170 180660.000 -3.996946e+64 -5.261372e+64 6.333948e+64
264 2170 180690.000 -3.996946e+64 -5.261372e+64 6.333948e+64
265 2170 180720.000 -3.996946e+64 -5.261372e+64 6.333948e+64
266 2170 180750.000 -3.996946e+64 -5.261372e+64 6.333948e+64
267 2170 180780.000 -3.996946e+64 -5.261372e+64 6.333948e+64
268 2170 180810.000 -3.996946e+64 -5.261372e+64 6.333948e+64
269 2170 180840.000 -3.996946e+64 -5.261372e+64 6.333948e+64
270 2170 180870.000 -3.996946e+64 -5.261372e+64 6.333948e+64
271 2170 180900.000 -3.996946e+64 -5.261372e+64 6.333948e+64
272 2170 180930.000 -3.996946e+64 -5.261372e+64 6.333948e+64
273 2170 180960.000 -3.996946e+64 -5.261372e+64 6.333948e+64
274 2170 180990.000 -3.996946e+64 -5.261372e+64 6.333948e+64
275 2170 181020.000 -3.996946e+64 -5.261372e+64 6.333948e+64
276 2170 181050.000 -3.996946e+64 -5.261372e+64 6.333948e+64
277 2170 181080.000 -3.996946e+64 -5.261372e+64 6.333948e+64
278 2170 181110.000 -3.996946e+64 -5.261372e+64 6.333948e+64
279 2170 181140.000 -3.996946e+64 -5.261372e+64 6.333948e+64
280 2170 181170.000 -3.996946e+64 -5.261372e+64 6.333948e+64
281 2170 181200.000 -3.996946e+64 -5.261372e+64 6.333948e+64
282 2170 181230.000 -3.996946e+64 -5.261372e+64 6.333948e+64
283 2170 181260.000 -3.996946e+64 -5.261372e+64 6.333948e+64
284 2170 181290.000 -3.996946e+64 -5.261372e+64 6.333948e+64
285 2170 181320.000 -3.996946e+64 -5.261372e+64 6.333948e+64
286 2170 181350.000 -3.996946e+64 -5.261372e+64 6.333948e+64
287 2170 181380.000 -3.996946e+64 -5.261372e+64 6.333948e+64
288 2170 181410.000 -3.996946e+64 -5.261372e+64 6.333948e+64
289 2170 181440.000 -3.996946e+64 -5.261372e+64 6.333948e+64
290 2170 181470.000 -3.996946e+64 -5.261372e+64 6.333948e+64
291 2170 181500.000 -3.996946e+64 -5.261372e+64 6.333948e+64
292 2170 181530.000 -3.996946e+64 -5.261372e+64 6.333948e+64
293 2170 181560.000 -3.996946e+64 -5.261372e+64 6.333948e+64
294 2170 181590.000 -3.996946e+64 -5.261372e+64 6.333948e+64
295 2170 181620.000 -3.996946e+64 -5.261372e+64 6.333948e+64
296 2170 181650.000 -3.996946e+64 -5.261372e+64 6.333948e+64
297 2170 181680.000 -3.996946e+64 -5.261372e+64 6.333948e+64
298 2170 181710.000 -3.996946e+64 -5.261372e+64 6.333948e+64
299 2170 181740.000 -3.996946e+64 -5.261372e+64 6.333948e+64
300 2170 181770.000 -3.996946e+64 -5.261372e+64 6.333948e+64
301 2170 181800.000 -3.996946e+64 -5.261372e+64 6.333948e+64
302 2170 181830.000 -3.996946e+64 -5.261372e+64 6.333948e+64
303 2170 181860.000 -3.996946e+64 -5.261372e+64 6.333948e+64
304 2170 181890.000 -3.996946e+64 -5.261372e+64 6.333948e+64
305 2170 181920.000 -3.996946e+64 -5.261372e+64 6.333948e+64
306 2170 181950.000 -3.996946e+64 -5.261372e+64 6.333948e+64
307 2170 181980.000 -3.996946e+64 -5.261372e+64 6.333948e+64
308 2170 182010.000 -3.996946e+64 -5.261372e+64 6.333948e+64
309 2170 182040.000 -3.996946e+64 -5.261372e+64 6.333948e+64
310 2170 182070.000 -3.996946e+64 -5.261372e+64 6.333948e+64
311 2170 182100.000 -3.996946e+64 -5.261372e+64 6.333948e+64
312 2170 182130.000 -3.996946e+64 -5.261372e+64 6.333948e+64
313 2170 182160.000 -3.996946e+64 -5.261372e+64 6.333948e+64
314 2170 182190.000 -3.996946e+64 -5.261372e+64 6.333948e+64
315 2170 182220.000 -3.996946e+64 -5.261372e+64 6.333948e+64
316 2170 182250.000 -3.996946e+64 -5.261372e+64 6.333948e+64
317 2170 182280.000 -3.996946e+64 -5.261372e+64 6.333948e+64
318 2170 182310.000 -3.996946e+64 -5.261372e+64 6.333948e+64
319 2170 182340.000 -3.996946e+64 -5.261372e+64 6.333948e+64
320 2170 182370.000 -3.996946e+64 -5.261372e+64 6.333948e+64
